"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"2","3.637694","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"3","7.498933","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"4","11.387734","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"5","12.225278","00:50:79:66:68:00","Broadcast","ARP","64","Who has 10.2.0.20? Tell 0.0.0.0"
"6","13.225735","00:50:79:66:68:00","Broadcast","ARP","64","Who has 10.2.0.20? Tell 0.0.0.0"
"7","14.226527","00:50:79:66:68:00","Broadcast","ARP","64","Who has 10.2.0.20? Tell 0.0.0.0"
"8","15.260858","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"9","19.090503","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"10","22.906351","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"11","26.766598","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"12","30.661184","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"13","34.531097","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"14","37.302867","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"15","41.010586","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"16","44.816559","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
"17","48.706318","c2:04:10:43:f1:01","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 32768/0/c2:04:19:de:00:00  Cost = 0  Port = 0x802a"
